英语|葡萄牙语|俄语|Français
1. This may take 2~3 business days\n2. You can only withdraw once a day\n3. You can withdraw only when your balance is more than %s|1. Isto vai levar 2 ~ 3 dias úteis\n 2. Você só pode se retirar uma vez por um dia\n 3. Você só pode retirar quando o seu saldo está mais do que %s|1. Потребуется примерно 2~3 рабочие дня\n2. Вы сможете вывести деньги раз в день\n3. Вы сможете вывести деньги когда ваш баланс больше чем %s|1. Comptez 2 à 3 jours ouvrables\n2. Un seul retrait pas jour\n3. Retrait possible à partir d'un solde supérieur à %s
This is required.|Isso é necessário.|Это потребуется|À renseigner obligatoirement.
Awesome livestream on #KittyLive.|Transmissão impressionante ao vivo em #KittyLive.|Прикольный лайвстрим на #KittyLive.|Super livestream sur #KittyLive.
Open your eyes and see |Abra os seus olhos e veja|Обращаете внимание и смотрите|Ouvrez vos yeux et regardez
FINISH|TERMINAR|ЗАВЕРШИТЬ|TERMINER
is your Kitty Live password reset code.|É o seu código de reposição de senha de Kitty Live.|это ваш код для переустановка пароля Kitty Live|est votre code de réinitialisation du mot de passe Kitty Live.
Cannot be empty|Não pode ser vazio|Не может быть пустой|Ne peut être vide
Passsord change successful. Please login again.|A senha etsá alterada com sucesso. Por favor faça login novamente.|Пароль изменен, войдите ещё раз.|Modification du mot de passe réussie. Veuillez vous reconnecter.
Followers:|Seguidores:|Подписчики:|Abonnés :
Select the VJ you are interested in and click the OK button to enter the main interface of livestream.|Selecione o VJ que você gosta e clique no botão OK para entrar na interface principal da transmissão.|Выберите понравившийсь вам VJ и нажмите ОК войти в главный интерфейс лайвстриминга|Sélectionnez le VJ qui vous intéresse et cliquez sur OK pour accéder à l\'interface principale du livestream.
ID|ID|ID|ID :
Sent Rubies|Enviar Rubis|Отправить рубины|Rubis envoyés
Phone|Celular|Телефон|Téléphone
Failed to save screenshots to album|Falha ao salvar as capturas de tela no álbum|Не удалось сохранить снимок экрана в альбом|Échec de l\'enregistrement des captures d\'écran dans l\'album
|||
Account not exists|A conta não existe|Аккаунт не существует|Le compte n\'existe pas
 Name|Nome|Имя| Nom
Contributed|Contribuiu|Внес вклад|A contribué
times|vezes|раз|fois
Search|procurar|поиск|Recherche
Turn on Location Services|Ativar serviços de localização|Включить Сервис местонахождения|Activer les services de localisation
【Settings】→【Privacy】→【Location Services】→【While Using the App】|【Configurações】 → 【Privacidade】 → 【Serviços de Localização】 → 【Enquanto Utiliza o Aplicativo】|【Настройки】→【Конфиденциальность】→【Сервис местонахождения】→【При использовании этого App】|【Réglages】→【Confidentialité】→【Services de localisation】→【Pendant l'utilisation de l'appli】
Turn On|ligar|Включить|Activer
 and got |e recebeu|и получил| et a obtenu
Manually saving screenshots to albums failed|Falha ao salvar manualmente as capturas de tela para álbuns|Сохранить скриншот в альбомы вручную не удалось|L'enregistrement manuel des captures d\'écran dans les albums a échoué
Kitty Live haven't permission to access albums yet, the screenshot can't be saved to your local album automatically, don't forget to open the system permissions in settings!|Kitty Live ainda não tem permissão para acessar álbuns, a captura de tela não pode automaticamente ser salvada no seu álbum local, não se esqueça de activar as permissões do sistema na configurações!|Kitty Live не имеет дпуск к альбомам, снимки экрана не могут сохраниться в локальные альбом автоматически, не забудьте включить допуск в настройки!|Kitty Live n\'ayant pas encore l\'autorisation d\'accéder aux albums, l\'enregistrement automatique de la capture d\'écran dans votre album local n\'est pas possible. N\'oubliez pas de paramétrer vos persmissions dans les réglages !
The name should be less than 30 characters|O nome deve ter menos de 30 caracteres|Имя должно меньше 30 символов|Le nom doit contenir moins de 30 caractères
Sign In|Assinar em|Регистрировать|Connexion
Enable|Habilitar|Включен|Activer
To broadcast live video, Kitty Live needs permission to access the microphone on your device.|Para transmitir vídeo ao vivo, Kitty Live precisa de permissão para acessar o microfone no seu dispositivo.|Для того чтобы начать видео стрим, Kitty Live потребует допуск к микрофону на вашем устройстве|Pour diffuser une vidéo en direct, Kitty Live doit obtenir l\'autorisation d\'accès au micro de votre appareil.
Select Country|Selecione o país|Выберите страну|Sélectionner un pays
Kitty Assistant|Kitty Assistente|Kitty помощник|Assistant Kitty
Agree and Continue|Concordar e Continuar|Согласоваться и продолжать|Accepter et continuer
In-app purchase forbidden|proibir a compra na aplicação |Покупка в приложение была запрешена|Achat intégré interdit
Purchase failed|Falha na compra|Покупка не удалась|Achat échoué
Payment successful|pagamento efetuado com sucesso|Оплата выполнена|Paiment réussi
Product not found|Produto não encontrado|Продукция не найдена|Produit introuvable
 moon. Sure to exchange?|lua. Certo de trocar?|Луны. Уверены обменять?| Moon. Échanger ?
Upload Profile Picture|fazer upload a foto de perfil|Загрузить фото для профиля|Télécharger la photo de profil
Binding with E-mail|ligação com e-mail|Связаться с E-mail|Liaison avec un e-mail
Binding with Phone|ligação com celular|Связаться с телефоном|Liaison avec un téléphone
Complete in register|Completar no registo|Завершить в регистрации|Terminer l\'inscription
Get |Obter|Получит|Obtenir
Always log-in will get extra 25Exp everyday|Sempre entrar terá 25Exp extra todos os dias|Постоянный вход получит экстральные 25 опыт каждого дня|Le fait de rester connecté vous fait gagner 25 Exp supplémentaires tous les jours
Sending gift|Enviando um presente|Отправить подарки|Envoi d'un cadeau
Sending gift at first time will get extra 50Exp everyday|Enviando presente na primeira vez vai obter 50Exp extra todos os dias|Каждой подарок в день принесёт вам экстральные 50 опыт|L\'envoi d\'un cadeau pour la première fois vous fait gagner 50 Exp supplémentaires tous les jours
Open your mouth|Abra a sua boca|Откройте рот|Ouvrez la bouche
Blink your eyes|Pisque seus olhos|Подмигивайте|Clignez des yeux
Let's do aegyo 1,2,3!|Vamos fazer aegyo 1,2,3!|Будь собой! Будь красавчиком! Любое время, любое место!|Allons-y pour un mignon aegyo 1,2,3 !
Blink or open mouth|Piscar ou abrir a boca|Подмигивайте, или откройте рот|Clignez des yeux ou ouvrez la bouche
Failed to share|Falha ao compartilhar|Не удалось подеоиться|Échec du partage
|||
Your Kitty Live verification code is 123456 |O código de verificação de Kitty Live é 123456|Ваш код подтверждения для Kitty Live - 123456|Votre code de vérification Kitty Live est le 123456
Don't talk about any violent, harmful or sexually explicit content.|Não fale sobre qualquer conteúdo explícitode violento, prejudicial ou sexual.|Не говорите о насилии, вредных или откровенно сексуальных содержаниях.|Ne publiez et n\'évoquez aucun contenu violent, agressif ou sexuellement explicite.
XXX is live now|XXX está transmitindo agora.|Стрим ХХХ сейчас идёт |XXX est maintenant en ligne
Tap to watch|Toque para ver|Нажмите смотреть|Appuyez pour visualiser
